"40022","609 WEST MAPLE AVENUE, SPRINGDALE, AR, 72764","Match","Non_Exact","609 MAPLE AVE, SPRINGDALE, AR, 72764","-94.13628,36.181355","49043411","L"
"40029","2302 COLLEGE AVENUE, CONWAY, AR, 72034","Match","Exact","2302 COLLEGE AVE, CONWAY, AR, 72034","-92.45771,35.08485","639315873","R"
"40027","624 HOSPITAL DRIVE, MOUNTAIN HOME, AR, 72653","Match","Exact","624 HOSPITAL DR, MOUNTAIN HOME, AR, 72653","-92.39399,36.342983","2964435","L"
"390312","1331 EAST WYOMING AVENUE, PHILADELPHIA, PA, 19124","Match","Exact","1331 E WYOMING AVE, PHILADELPHIA, PA, 19124","-75.09931,40.01843","131426619","L"
"40026","300 WERNER STREET, HOT SPRINGS, AR, 71903","Match","Non_Exact","300 WERNER ST, HOT SPRINGS, AR, 71913","-93.06711,34.46604","641124148","R"
"500049","1025 S SECOND AVE, WALLA WALLA, WA, 99362","Match","Non_Exact","1025 S 2ND AVE, WALLA WALLA, WA, 99362","-118.331825,46.054455","639486075","R"
"390314","2310 HIGHLAND AVENUE, BETHLEHEM, PA, 18017","No_Match"
"240207","201 EAST NICOLLET BOULEVARD, BURNSVILLE, MN, 55337","Match","Exact","201 E NICOLLET BLVD, BURNSVILLE, MN, 55337","-93.27446,44.75009","37904275","R"
"390316","2752 CENTURY BOULEVARD, WYOMISSING, PA, 19610","No_Match"
"500054","101 WEST 8TH AVENUE, SPOKANE, WA, 99204","No_Match"
"190250","64030 HIGHWAY 434, LACOMBE, LA, 70445","No_Match"
"500053","900 SOUTH AUBURN STREET, KENNEWICK, WA, 99336","Match","Exact","900 S AUBURN ST, KENNEWICK, WA, 99336","-119.11853,46.199223","174992610","R"
"250004","830 S GLOSTER, TUPELO, MS, 38801","No_Match"
"500058","888 SWIFT BLVD, RICHLAND, WA, 99352","Match","Exact","888 SWIFT BLVD, RICHLAND, WA, 99352","-119.28263,46.280434","175010526","R"
"250002","1777 CURTIS DRIVE, IUKA, MS, 38852","Match","Exact","1777 CURTIS DR, IUKA, MS, 38852","-88.20761,34.803684","607723903","R"
"250001","2500 N STATE ST, JACKSON, MS, 39216","Match","Non_Exact","2500 N STATE ST, JACKSON, MS, 39216","-90.17562,32.32881","65371173","R"
"190259","1101 KALISTE SALOOM RD, LAFAYETTE, LA, 70508","No_Match"
